X1,country,date,sm_plf,pred_arr,sd_arr,showup
7865,BE,2020-09-07,918.428571428571,1007.91606370445,168.855633121351,1
7867,SE,2020-09-07,1100.66082576599,1793.54036580169,90.2698767767203,0.534597958670686
7891,CZ,2020-09-07,119.331320431137,299.94060185766,118.130954470892,0.699597355961438
7928,BG,2020-09-07,21.018932930315,32.3402810576829,106.627281512381,0.631470088035214
7941,MT,2020-09-07,759.981508927793,2123.0281273507,106.546093221878,0.63098927321724
7945,ES,2020-09-07,133.311611419403,248.192897397235,106.901571126564,0.63309449113692
7975,BE,2020-09-08,908.857142857143,1027.11907093365,168.855633121351,1
7976,SE,2020-09-08,900.282698071245,1605.59593550837,80.6643901453248,0.477712165441079
7996,CZ,2020-09-08,105.687630812248,291.260386764462,114.712270612749,0.679351162245857
8032,BG,2020-09-08,21.2083844184574,33.6424948105803,110.920735616006,0.656896862518592
8045,MT,2020-09-08,644.434672240328,1867.83099141165,96.4562456762612,0.571234988689667
8049,ES,2020-09-08,147.026052231223,265.267434190935,114.255910548225,0.676648498105561
8077,BE,2020-09-09,888.285714285714,1025.6580873606,168.855633121351,1
8078,SE,2020-09-09,705.911304822541,1411.3434144929,69.3697790258814,0.410823007462403
8100,CZ,2020-09-09,97.1443426837579,278.570986887109,110.089728107539,0.651975454253409
8139,BG,2020-09-09,17.6941307122362,32.6052294315404,110.657542368392,0.655338174527267
8154,MT,2020-09-09,516.321813500552,1690.36079442036,86.1378866606913,0.510127409245429
8158,ES,2020-09-09,126.872736453696,241.701889301381,101.120858852387,0.598859848399103
8187,BE,2020-09-10,639.937048739489,739.026081351724,122.454076195403,0.725199828586113
8188,SE,2020-09-10,590.104355493253,1194.17231444532,59.4322692468778,0.351970900515744
8211,CZ,2020-09-10,94.3326452915034,263.378599322968,109.099990032251,0.646114008845914
8249,BG,2020-09-10,17.6941307122362,28.1289404285107,110.657542368392,0.655338174527267
8264,MT,2020-09-10,450.894720200754,1509.55315407427,77.0831348212334,0.456503187938281
8270,ES,2020-09-10,139.964792813952,256.611288375072,112.849185495968,0.66831756459595
8298,BE,2020-09-11,635.788222625975,752.009389386479,124.605365617352,0.737940235181864
8300,SE,2020-09-11,484.331119301149,977.125618560587,48.6301617847244,0.28799845694088
8323,CZ,2020-09-11,93.3119849404482,266.527058327283,110.404184248754,0.653837732315453
8365,BG,2020-09-11,20.0387423609127,29.3699053389437,115.539422917819,0.684249739153117
8377,MT,2020-09-11,395.125708572522,1349.38649205108,68.9044573302963,0.408067270582422
8381,ES,2020-09-11,145.593462626591,270.435851764691,118.928772751208,0.704322210356693
8410,BE,2020-09-12,620.396111704107,742.010461131796,125.651413227339,0.744135157972712
8412,SE,2020-09-12,418.297078816191,825.119068550678,41.0650105094881,0.243195976055925
